"Season","Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"2003","Chipper Jones","Braves","153","656","27","103","106","2","14.3 %","12.7 %",".213",".315",".305",".402",".517",".391","137","0.9","31.9","-13.5","3.9","97"
"2001","Cristian Guzman","Twins","118","527","10","80","51","25","4.0 %","14.8 %",".174",".343",".302",".337",".477",".349","111","1.5","8.5","13.2","3.9","728"
"2002","Bret Boone","Mariners","155","675","24","88","107","12","7.9 %","15.1 %",".184",".297",".278",".339",".462",".346","116","1.7","15.3","1.1","3.9","1067"
"2006","Nick Swisher","Athletics","157","672","35","106","95","1","14.4 %","22.6 %",".239",".283",".254",".372",".493",".369","124","2.1","23.3","-5.9","3.9","4599"
"2006","Chipper Jones","Braves","110","477","26","87","86","6","12.8 %","15.3 %",".273",".339",".324",".409",".596",".421","155","0.3","34.5","-9.8","3.9","97"
"2008","Aubrey Huff","Orioles","154","661","32","96","108","4","8.0 %","13.5 %",".247",".310",".304",".360",".552",".387","134","2.1","30.2","-13.4","3.9","1213"
"2000","Brad Ausmus","Tigers","150","604","7","75","51","11","11.4 %","13.1 %",".099",".301",".266",".357",".365",".329","92","0.0","-6.2","25.5","3.9","546"
"2009","Yunel Escobar","Braves","141","604","14","89","76","5","9.4 %","10.3 %",".136",".317",".299",".377",".436",".360","120","-2.5","12.0","7.8","3.9","4191"
"2005","Chad Tracy","Diamondbacks","145","553","27","73","72","3","6.3 %","14.1 %",".245",".317",".308",".359",".553",".385","130","3.4","24.0","-3.0","3.9","1888"
"2008","Adrian Beltre","Mariners","143","612","25","74","77","8","8.2 %","14.7 %",".191",".276",".266",".327",".457",".335","106","0.2","5.0","13.3","3.9","639"
"2005","Jimmy Rollins","Phillies","158","732","12","115","54","41","6.4 %","9.7 %",".142",".309",".290",".338",".431",".332","97","10.3","7.6","7.4","3.9","971"
"2000","Adrian Beltre","Dodgers","138","575","20","71","85","12","9.7 %","13.9 %",".184",".309",".290",".360",".475",".362","116","0.2","13.0","9.1","3.9","639"
"2003","Placido Polanco","Phillies","122","554","14","87","63","14","7.6 %","6.9 %",".159",".288",".289",".352",".447",".348","111","0.9","8.5","12.8","3.9","1176"
"2006","Austin Kearns","- - -","150","629","24","86","86","9","12.1 %","21.5 %",".203",".308",".264",".363",".467",".358","114","0.2","11.6","7.7","3.9","332"
"2006","Gary Matthews Jr.","Rangers","147","690","19","102","79","10","8.4 %","14.3 %",".182",".343",".313",".371",".495",".369","118","-0.2","16.1","0.2","3.9","153"
"2003","Kenny Lofton","- - -","140","610","12","97","46","30","7.5 %","8.4 %",".154",".306",".296",".352",".450",".346","108","7.2","13.3","6.1","3.9","246"
"2001","Jeff Cirillo","Rockies","138","586","17","72","83","12","7.3 %","10.8 %",".161",".324",".313",".364",".473",".357","95","1.5","-2.0","22.0","3.9","1073"
"2005","Kenny Lofton","Phillies","110","406","2","67","36","22","7.9 %","10.1 %",".084",".373",".335",".392",".420",".359","115","6.5","14.0","11.4","3.9","246"
"2003","Jose Valentin","White Sox","144","569","28","79","74","8","9.5 %","20.0 %",".227",".251",".237",".313",".463",".332","98","2.6","1.6","18.1","3.9","256"
"2004","J.T. Snow","Giants","107","417","12","62","60","4","13.9 %","14.6 %",".202",".365",".327",".429",".529",".414","153","2.3","30.6","-5.0","3.9","1133"
"2003","Brad Wilkerson","Expos","146","602","19","78","77","13","14.8 %","25.7 %",".196",".348",".268",".380",".464",".370","120","1.7","17.3","2.1","3.9","804"
"2001","Ray Durham","White Sox","152","691","20","104","65","23","9.3 %","15.9 %",".200",".294",".267",".337",".466",".343","108","0.2","7.2","8.1","3.9","230"
"2002","Mark Bellhorn","Cubs","146","529","27","86","56","7","14.4 %","27.2 %",".254",".321",".258",".374",".512",".382","135","1.8","25.2","-4.0","3.9","264"
"2006","Ryan Zimmerman","Nationals","157","682","20","84","110","11","8.9 %","17.6 %",".184",".326",".287",".351",".471",".351","112","0.0","10.9","6.1","3.8","4220"
"2003","Luis Gonzalez","Diamondbacks","156","679","26","92","104","5","13.8 %","9.9 %",".228",".307",".304",".402",".532",".395","134","-3.9","25.8","-9.0","3.8","55"
"2006","Morgan Ensberg","Astros","127","495","23","67","58","1","20.4 %","19.4 %",".227",".251",".235",".396",".463",".373","124","0.0","15.3","8.0","3.8","556"
"2006","Corey Patterson","Orioles","135","499","16","75","53","45","4.2 %","18.8 %",".166",".316",".276",".314",".443",".322","90","11.3","4.9","17.6","3.8","300"
"2005","Bobby Abreu","Phillies","162","719","24","104","102","31","16.3 %","18.6 %",".189",".329",".286",".405",".474",".379","128","4.1","29.4","-14.5","3.8","945"
"2008","Alfonso Soriano","Cubs","109","503","29","76","75","19","8.5 %","20.5 %",".252",".302",".280",".344",".532",".368","117","-0.4","10.5","11.7","3.8","847"
"2006","Alex Rodriguez","Yankees","154","674","35","113","121","15","13.4 %","20.6 %",".233",".326",".290",".392",".523",".389","136","-0.8","30.2","-14.0","3.8","1274"
"2009","Victor Martinez","- - -","155","672","23","88","108","1","11.2 %","11.0 %",".177",".312",".303",".381",".480",".375","126","-2.1","19.6","-4.4","3.8","393"
"2008","Nate McLouth","Pirates","152","685","26","113","94","23","9.5 %","13.6 %",".221",".287",".276",".356",".497",".364","121","9.0","26.7","-10.6","3.8","3190"
"2006","Rafael Furcal","Dodgers","159","736","15","113","63","37","9.9 %","13.3 %",".145",".333",".300",".369",".445",".355","113","4.5","17.0","-2.2","3.8","88"
"2009","Torii Hunter","Angels","119","506","22","74","90","18","9.3 %","18.2 %",".208",".330",".299",".366",".508",".375","128","3.0","20.8","-0.1","3.8","731"
"2005","Luis Castillo","Marlins","122","524","4","72","30","10","12.4 %","6.1 %",".073",".317",".301",".391",".374",".346","112","0.9","8.7","12.1","3.8","513"
"2003","Derrek Lee","Marlins","155","643","31","91","92","21","13.7 %","20.4 %",".237",".300",".271",".379",".508",".380","133","3.6","31.0","-13.5","3.8","525"
"2000","J.D. Drew","Cardinals","135","486","18","73","57","17","13.8 %","20.4 %",".184",".351",".295",".401",".479",".386","126","-0.7","16.7","7.0","3.8","1152"
"2006","Ryan Freel","Reds","132","523","8","67","27","37","10.9 %","18.7 %",".128",".330",".271",".363",".399",".340","100","2.4","2.1","19.7","3.8","1207"
"2004","Randy Winn","Mariners","157","703","14","84","81","21","7.5 %","13.9 %",".141",".317",".286",".346",".427",".337","106","1.2","6.4","8.6","3.8","1235"
"2005","Bobby Crosby","Athletics","84","371","9","66","38","0","9.4 %","14.6 %",".180",".306",".276",".346",".456",".349","117","3.8","11.3","14.0","3.8","1818"
"2009","Ryan Sweeney","Athletics","134","534","6","68","53","6","7.5 %","12.5 %",".114",".327",".293",".348",".407",".333","102","0.0","1.4","18.1","3.8","6352"
"2003","Vernon Wells","Blue Jays","161","735","33","118","117","4","5.7 %","10.9 %",".233",".318",".317",".359",".550",".385","133","-0.7","29.9","-16.8","3.8","1326"
"2002","Jorge Posada","Yankees","143","598","20","79","99","1","13.5 %","23.9 %",".200",".333",".268",".370",".468",".362","123","-4.7","11.8","5.7","3.8","841"
"2004","Mike Cameron","Mets","140","562","30","76","76","22","10.1 %","25.4 %",".247",".260",".231",".319",".479",".341","105","6.7","10.6","9.2","3.8","1070"
"2009","Brian McCann","Braves","138","551","21","63","94","4","8.9 %","15.1 %",".205",".297",".281",".349",".486",".359","119","-4.9","8.3","11.7","3.8","4810"
"2004","Gary Sheffield","Yankees","154","684","36","117","121","5","13.5 %","12.1 %",".244",".281",".290",".393",".534",".394","141","0.3","36.5","-21.1","3.8","114"
"2006","Justin Morneau","Twins","157","661","34","97","130","3","8.0 %","14.1 %",".238",".328",".321",".375",".559",".390","138","-3.9","28.4","-12.3","3.8","1737"
"2005","Paul Konerko","White Sox","158","664","40","98","100","0","12.2 %","16.4 %",".250",".287",".283",".375",".534",".386","136","-3.1","26.5","-11.3","3.8","242"
"2005","Aaron Rowand","White Sox","157","640","13","77","69","16","5.0 %","18.1 %",".137",".316",".270",".329",".407",".322","93","1.6","-3.8","19.7","3.8","254"
"2008","Carlos Pena","Rays","139","607","31","76","102","1","15.8 %","27.3 %",".247",".298",".247",".377",".494",".376","132","-1.6","22.5","-5.5","3.8","934"
"2005","Trot Nixon","Red Sox","124","470","13","64","67","2","11.3 %","12.6 %",".172",".289",".275",".357",".446",".349","110","0.3","6.1","15.5","3.8","204"
"2000","Will Clark","- - -","130","507","21","78","70","5","13.6 %","13.6 %",".227",".337",".319",".418",".546",".415","146","0.2","32.1","-9.3","3.8","1002318"
"2003","Jason Varitek","Red Sox","142","521","25","63","85","3","9.8 %","20.3 %",".239",".300",".273",".351",".512",".363","120","-2.6","10.3","9.9","3.8","217"
"2000","Luis Castillo","Marlins","136","626","2","101","17","62","12.5 %","13.7 %",".054",".395",".334",".418",".388",".370","119","2.4","18.4","1.0","3.8","513"
"2001","Miguel Tejada","Athletics","162","683","31","107","113","11","6.3 %","13.0 %",".209",".267",".267",".326",".476",".340","109","0.0","8.1","6.4","3.7","941"
"2000","Sean Casey","Reds","133","545","20","69","85","1","9.5 %","14.7 %",".202",".339",".315",".385",".517",".387","124","0.3","18.1","2.7","3.7","314"
"2002","Garret Anderson","Angels","158","678","29","93","123","6","4.4 %","11.8 %",".234",".308",".306",".332",".539",".364","123","2.8","22.4","-8.1","3.7","2"
"2009","Erick Aybar","Angels","137","556","5","70","58","14","5.4 %","9.7 %",".111",".338",".312",".353",".423",".340","105","3.5","7.0","11.2","3.7","4082"
"2007","Dustin Pedroia","Red Sox","139","581","8","86","50","7","8.1 %","7.2 %",".125",".333",".317",".380",".442",".364","117","0.0","12.8","5.3","3.7","8370"
"2008","Johnny Damon","Yankees","143","623","17","95","71","29","10.3 %","13.2 %",".159",".330",".303",".375",".461",".369","125","2.4","21.7","-5.7","3.7","185"
"2006","Aramis Ramirez","Cubs","157","660","38","93","119","2","7.6 %","9.5 %",".269",".270",".291",".352",".561",".381","125","-4.6","17.0","-0.6","3.7","1002"
"2003","Jeff Bagwell","Astros","160","702","39","109","100","11","12.5 %","17.0 %",".246",".287",".278",".373",".524",".384","131","-3.8","23.8","-9.1","3.7","547"
"2004","Aramis Ramirez","Cubs","145","606","36","99","103","0","8.1 %","10.2 %",".260",".303",".318",".373",".578",".398","140","-9.4","21.7","-4.0","3.7","1002"
"2002","Troy Glaus","Angels","156","671","30","99","111","10","13.1 %","21.5 %",".204",".278",".250",".352",".453",".350","114","4.8","16.7","-2.3","3.7","15"
"2004","Julio Lugo","Devil Rays","157","655","7","83","75","21","8.2 %","16.2 %",".120",".321",".275",".338",".396",".323","93","5.6","-0.5","16.2","3.7","565"
"2005","Jose Guillen","Nationals","148","611","24","81","76","1","5.1 %","16.7 %",".196",".304",".283",".338",".479",".348","114","0.3","11.0","6.1","3.7","57"
"2008","Geovany Soto","Cubs","141","563","23","66","86","0","11.0 %","21.5 %",".219",".332",".285",".364",".504",".373","120","-2.9","11.3","7.7","3.7","3707"
"2004","Kevin Mench","Rangers","125","481","26","69","71","0","6.9 %","13.1 %",".260",".272",".279",".335",".539",".367","115","2.4","11.7","10.0","3.7","1261"
"2005","Cliff Floyd","Mets","150","626","34","85","98","12","10.1 %","15.7 %",".233",".276",".273",".358",".505",".366","124","3.7","22.7","-6.1","3.7","518"
"2004","Orlando Hudson","Blue Jays","135","551","12","73","58","7","9.3 %","17.8 %",".168",".313",".270",".341",".438",".339","100","1.3","1.4","17.8","3.7","1307"
"2003","Doug Mientkiewicz","Twins","142","574","11","67","65","4","12.9 %","9.6 %",".150",".316",".300",".393",".450",".369","125","1.2","19.1","-1.4","3.7","741"
"2003","Carlos Lee","White Sox","158","671","31","100","113","18","5.5 %","13.6 %",".209",".295",".291",".331",".499",".354","113","2.5","13.3","0.9","3.7","243"
"2002","Robin Ventura","Yankees","141","562","27","68","93","3","16.0 %","18.0 %",".211",".257",".247",".368",".458",".358","120","-0.6","13.2","4.4","3.7","854"
"2002","Cliff Floyd","- - -","146","609","28","86","79","15","12.5 %","17.4 %",".244",".314",".288",".388",".533",".387","139","5.7","35.0","-18.4","3.7","518"
"2001","Frank Catalanotto","Rangers","133","512","11","77","54","15","7.6 %","10.7 %",".160",".357",".330",".391",".490",".381","129","0.8","19.8","-0.2","3.7","1241"
"2009","Kendrys Morales","Angels","152","622","34","86","108","3","7.4 %","18.8 %",".263",".329",".306",".355",".569",".387","136","-7.5","20.6","-5.3","3.7","8610"
"2000","Derek Jeter","Yankees","148","679","15","119","73","22","10.0 %","14.6 %",".142",".386",".339",".416",".481",".395","133","2.7","33.3","-16.4","3.7","826"
"2009","Felipe Lopez","- - -","151","680","9","88","57","6","10.4 %","14.7 %",".118",".358",".310",".383",".427",".359","115","-1.0","11.7","2.8","3.6","1311"
"2000","John Olerud","Mariners","159","683","14","84","103","0","14.9 %","14.1 %",".154",".316",".285",".392",".439",".364","115","-0.8","13.4","0.4","3.6","1093"
"2007","Derek Jeter","Yankees","156","714","12","102","73","15","7.8 %","14.0 %",".130",".367",".322",".388",".452",".371","125","0.9","23.7","-11.2","3.6","826"
"2004","David Bell","Phillies","143","603","18","67","77","1","9.5 %","12.4 %",".167",".308",".291",".363",".458",".355","110","-1.9","6.0","11.0","3.6","1108"
"2004","Cesar Izturis","Dodgers","159","728","4","90","62","25","5.9 %","9.6 %",".093",".316",".288",".330",".381",".312","88","3.3","-8.3","21.1","3.6","656"
"2005","Jeff Kent","Dodgers","149","637","29","100","105","6","11.3 %","13.3 %",".222",".296",".289",".377",".512",".380","133","-5.4","20.8","-5.3","3.6","1119"
"2006","Ray Durham","Giants","137","555","26","79","93","7","9.2 %","11.0 %",".245",".291",".293",".360",".538",".378","126","-1.3","17.3","1.8","3.6","230"
"2003","Randy Winn","Mariners","157","660","11","103","75","23","6.2 %","16.4 %",".130",".342",".295",".346",".425",".338","109","8.3","15.8","-1.7","3.6","1235"
"2003","Luis Matos","Orioles","109","486","13","70","45","15","5.8 %","18.5 %",".155",".355",".303",".353",".458",".353","118","2.2","13.0","7.0","3.6","152"
"2002","Darin Erstad","Angels","150","663","10","99","73","23","4.1 %","10.1 %",".106",".303",".283",".313",".389",".305","84","6.6","-6.1","19.8","3.6","11"
"2001","Shannon Stewart","Blue Jays","155","698","12","103","60","27","6.6 %","10.3 %",".147",".341",".316",".371",".463",".362","119","1.0","18.2","-5.4","3.6","1322"
"2003","Marlon Byrd","Phillies","135","553","7","86","45","11","8.0 %","17.0 %",".115",".360",".303",".366",".418",".345","109","5.3","11.3","7.2","3.6","950"
"2006","Johnny Damon","Yankees","149","671","24","115","80","25","10.0 %","12.7 %",".197",".297",".285",".359",".482",".362","117","7.4","22.4","-8.3","3.6","185"
"2006","Nick Punto","Twins","135","524","1","73","45","17","9.0 %","13.0 %",".083",".332",".290",".352",".373",".322","93","4.0","-0.9","20.1","3.6","1429"
"2006","Edgar Renteria","Braves","149","673","14","100","70","17","9.2 %","13.2 %",".144",".324",".293",".361",".436",".349","108","0.8","7.7","7.2","3.6","1178"
"2008","Joey Votto","Reds","151","589","24","69","84","7","10.0 %","17.3 %",".209",".328",".297",".368",".506",".375","124","-0.6","17.2","-0.1","3.6","4314"
"2006","Bobby Abreu","- - -","156","686","15","98","107","30","18.1 %","20.1 %",".164",".366",".297",".424",".462",".388","132","7.5","35.9","-21.8","3.6","945"
"2009","Robinson Cano","Yankees","161","674","25","103","85","5","4.5 %","9.3 %",".199",".324",".320",".352",".520",".374","124","-6.5","13.4","-0.4","3.6","3269"
"2007","Eric Byrnes","Diamondbacks","160","699","21","103","83","50","8.2 %","14.0 %",".174",".309",".286",".353",".460",".353","104","10.1","13.7","0.1","3.6","905"
"2001","Magglio Ordonez","White Sox","160","671","31","97","113","25","10.4 %","10.4 %",".228",".303",".305",".382",".533",".388","138","1.9","34.0","-20.2","3.6","248"
"2004","Eric Byrnes","Athletics","143","632","20","91","73","17","7.3 %","17.6 %",".185",".318",".283",".347",".467",".352","112","7.4","17.1","-1.8","3.6","905"
"2004","Jeff Bagwell","Astros","156","679","27","104","89","6","14.1 %","19.3 %",".199",".300",".266",".377",".465",".365","118","4.7","20.6","-6.6","3.6","547"
"2001","Fred McGriff","- - -","146","586","31","67","102","1","11.3 %","18.1 %",".238",".332",".306",".386",".544",".389","139","-0.7","28.4","-11.6","3.6","293"
"2001","Moises Alou","Astros","136","581","27","79","108","5","9.8 %","9.8 %",".222",".327",".331",".396",".554",".396","136","0.5","27.9","-10.2","3.6","261"
"2000","Mike Cameron","Mariners","155","643","19","96","78","24","12.1 %","20.7 %",".171",".317",".267",".365",".438",".355","110","1.7","10.0","5.1","3.6","1070"
"2005","Ichiro Suzuki","Mariners","162","739","15","111","68","33","6.5 %","8.9 %",".133",".316",".303",".350",".436",".331","106","8.1","13.1","-2.5","3.6","1101"
"2005","Jason Michaels","Phillies","105","343","4","54","31","3","12.8 %","13.1 %",".111",".344",".304",".399",".415",".362","117","1.0","8.3","16.1","3.6","1399"
"2003","A.J. Pierzynski","Twins","137","533","11","63","74","3","4.5 %","10.3 %",".152",".331",".312",".360",".464",".350","112","0.7","8.8","9.0","3.6","746"
"2009","Johnny Damon","Yankees","143","626","24","107","82","12","11.3 %","15.7 %",".207",".305",".282",".365",".489",".372","122","7.3","24.6","-10.4","3.6","185"
"2009","David DeJesus","Royals","144","627","13","74","71","4","8.1 %","13.9 %",".152",".311",".281",".347",".434",".343","105","0.0","3.9","10.2","3.6","1825"
"2000","Eric Young","Cubs","153","690","6","98","47","54","9.1 %","5.7 %",".102",".307",".297",".367",".399",".343","100","7.7","7.4","7.2","3.6","716"
"2003","Richie Sexson","Brewers","162","718","45","97","124","2","13.6 %","21.0 %",".276",".289",".272",".379",".548",".393","138","-4.6","30.1","-17.5","3.6","709"
